item,title,genre,publicationdate,imdb,imdbs
http://www.wikidata.org/entity/Q21868855,3 Gold Coins,Western film,1920-07-04T00:00:00Z,tt0011768,https://www.imdb.com/title/tt0011768/
http://www.wikidata.org/entity/Q21868855,3 Gold Coins,silent film,1920-07-04T00:00:00Z,tt0011768,https://www.imdb.com/title/tt0011768/
http://www.wikidata.org/entity/Q43303265,The Green Flame,crime film,1920-07-18T00:00:00Z,tt0011251,https://www.imdb.com/title/tt0011251/
http://www.wikidata.org/entity/Q43303265,The Green Flame,silent film,1920-07-18T00:00:00Z,tt0011251,https://www.imdb.com/title/tt0011251/
http://www.wikidata.org/entity/Q43303265,The Green Flame,drama film,1920-07-18T00:00:00Z,tt0011251,https://www.imdb.com/title/tt0011251/
http://www.wikidata.org/entity/Q17031338,The Woman in His House,silent film,1920-08-01T00:00:00Z,tt0011875,https://www.imdb.com/title/tt0011875/
http://www.wikidata.org/entity/Q17031338,The Woman in His House,drama film,1920-08-01T00:00:00Z,tt0011875,https://www.imdb.com/title/tt0011875/
http://www.wikidata.org/entity/Q64018107,Trumpet Island,drama film,1920-09-01T00:00:00Z,tt0011793,https://www.imdb.com/title/tt0011793/
http://www.wikidata.org/entity/Q64018107,Trumpet Island,silent film,1920-09-01T00:00:00Z,tt0011793,https://www.imdb.com/title/tt0011793/
http://www.wikidata.org/entity/Q16644531,The Girl of My Heart,silent film,1920-10-24T00:00:00Z,tt0011232,https://www.imdb.com/title/tt0011232/
http://www.wikidata.org/entity/Q16644531,The Girl of My Heart,adventure film,1920-10-24T00:00:00Z,tt0011232,https://www.imdb.com/title/tt0011232/
http://www.wikidata.org/entity/Q16644531,The Girl of My Heart,drama film,1920-10-24T00:00:00Z,tt0011232,https://www.imdb.com/title/tt0011232/
http://www.wikidata.org/entity/Q874613,Convict 13,comedy film,1920-10-27T00:00:00Z,tt0011071,https://www.imdb.com/title/tt0011071/
http://www.wikidata.org/entity/Q874613,Convict 13,silent film,1920-10-27T00:00:00Z,tt0011071,https://www.imdb.com/title/tt0011071/
http://www.wikidata.org/entity/Q56705839,The Place of the Honeymoons,silent film,1920-11-01T00:00:00Z,tt0011578,https://www.imdb.com/title/tt0011578/
http://www.wikidata.org/entity/Q56705839,The Place of the Honeymoons,drama film,1920-11-01T00:00:00Z,tt0011578,https://www.imdb.com/title/tt0011578/
